x,y,yaw
-2.688101196289062500e+01,-8.081168174743652344e+00,3.394986391067504883e+00
-2.707468605041503906e+01,-8.130944252014160156e+00,3.391206264495849609e+00
-2.726854896545410156e+01,-8.179912567138671875e+00,3.386682987213134766e+00
-2.746265983581542969e+01,-8.227931976318359375e+00,3.381403923034667969e+00
-2.765703773498535156e+01,-8.274851799011230469e+00,3.375371932983398438e+00
-2.785170936584472656e+01,-8.320527076721191406e+00,3.368597984313964844e+00
-2.804670524597167969e+01,-8.364809989929199219e+00,3.361082792282104492e+00
-2.824204254150390625e+01,-8.407553672790527344e+00,3.352829217910766602e+00
-2.843774032592773438e+01,-8.448611259460449219e+00,3.343837976455688477e+00
-2.863381576538085938e+01,-8.487835884094238281e+00,3.334108829498291016e+00
-2.883027648925781250e+01,-8.525078773498535156e+00,3.323642253875732422e+00
-2.902712631225585938e+01,-8.560189247131347656e+00,3.312437057495117188e+00
-2.922437667846679688e+01,-8.593020439147949219e+00,3.300492763519287109e+00
-2.942200660705566406e+01,-8.623419761657714844e+00,3.287808418273925781e+00
-2.962002372741699219e+01,-8.651236534118652344e+00,3.274381399154663086e+00
-2.981840515136718750e+01,-8.676318168640136719e+00,3.260211467742919922e+00
-3.001711845397949219e+01,-8.698512077331542969e+00,3.245295763015747070e+00
-3.021616935729980469e+01,-8.717665672302246094e+00,3.229630708694458008e+00
-3.041548156738281250e+01,-8.733623504638671875e+00,3.213215827941894531e+00
-3.061504554748535156e+01,-8.746232986450195312e+00,3.196044206619262695e+00
-3.081479835510253906e+01,-8.755337715148925781e+00,3.178114414215087891e+00
-3.101466751098632812e+01,-8.760784149169921875e+00,3.159421205520629883e+00
-3.121463584899902344e+01,-8.762415885925292969e+00,3.139956951141357422e+00
-3.141456794738769531e+01,-8.760078430175781250e+00,3.119721412658691406e+00
-3.161442565917968750e+01,-8.753618240356445312e+00,3.098702192306518555e+00
-3.181409835815429688e+01,-8.742879867553710938e+00,3.076896905899047852e+00
-3.201345825195312500e+01,-8.727713584899902344e+00,3.054295778274536133e+00
-3.221245956420898438e+01,-8.707961082458496094e+00,3.030885219573974609e+00
-3.241089248657226562e+01,-8.683479309082031250e+00,3.006662130355834961e+00
-3.260868835449218750e+01,-8.654113769531250000e+00,2.981603860855102539e+00
-3.280566406250000000e+01,-8.619718551635742188e+00,2.955691337585449219e+00
-3.300164413452148438e+01,-8.580151557922363281e+00,2.928908109664916992e+00
-3.319651412963867188e+01,-8.535251617431640625e+00,2.901210308074951172e+00
-3.339000701904296875e+01,-8.484890937805175781e+00,2.872574329376220703e+00
-3.358196640014648438e+01,-8.428918838500976562e+00,2.843064785003662109e+00
-3.377217102050781250e+01,-8.367251396179199219e+00,2.812991619110107422e+00
-3.396039962768554688e+01,-8.299848556518554688e+00,2.782378435134887695e+00
-3.414649200439453125e+01,-8.226719856262207031e+00,2.752072095870971680e+00
-3.433032226562500000e+01,-8.148054122924804688e+00,2.722557306289672852e+00
-3.451176834106445312e+01,-8.064078330993652344e+00,2.693859815597534180e+00
-3.469078063964843750e+01,-7.975008964538574219e+00,2.666101455688476562e+00
-3.486731719970703125e+01,-7.881077289581298828e+00,2.639274358749389648e+00
-3.504127502441406250e+01,-7.782546043395996094e+00,2.613352298736572266e+00
-3.521271133422851562e+01,-7.679587841033935547e+00,2.588299751281738281e+00
-3.538152694702148438e+01,-7.572459697723388672e+00,2.564110517501831055e+00
-3.554776000976562500e+01,-7.461343765258789062e+00,2.540766716003417969e+00
-3.571142959594726562e+01,-7.346428394317626953e+00,2.518253087997436523e+00
-3.587247085571289062e+01,-7.227957725524902344e+00,2.496566057205200195e+00
-3.603099822998046875e+01,-7.106054306030273438e+00,2.475683689117431641e+00
-3.618696975708007812e+01,-6.980950832366943359e+00,2.455604791641235352e+00
